State,County,Website,Population,Coordinates,Wikidata ID
Texas,Coke County,http://www.co.coke.tx.us,3210,Point(-100.53 31.88),Q108846
Texas,Schleicher County,http://www.co.schleicher.tx.us/,3206,Point(-100.54 30.9),Q110760
Texas,Collingsworth County,http://www.co.collingsworth.tx.us,3099,Point(-100.27 34.97),Q111647
Texas,Sherman County,http://www.co.sherman.tx.us,3093,Point(-101.89 36.28),Q114423
Texas,Cochran County,http://www.co.cochran.tx.us,3016,Point(-102.83 33.6),Q109779
Texas,Dickens County,http://www.co.dickens.tx.us,2291,Point(-100.78 33.62),Q108962
Texas,Culberson County,http://www.co.culberson.tx.us,2277,Point(-104.52 31.45),Q108607
Texas,Jeff Davis County,http://www.co.jeff-davis.tx.us,2253,Point(-104.13 30.72),Q484535
Texas,Menard County,http://co.menard.tx.us,2148,Point(-99.82 30.9),Q111821
Texas,Oldham County,http://www.co.oldham.tx.us,2102,Point(-102.6 35.4),Q112526
Texas,Armstrong County,http://www.co.armstrong.tx.us,1949,Point(-101.35 34.97),Q107977
Texas,Edwards County,http://www.edwardscountytexas.us/,1884,Point(-100.3 29.97),Q26595
Texas,Irion County,http://www.co.irion.tx.us,1612,Point(-100.98 31.3),Q156582
Texas,Throckmorton County,http://www.co.throckmorton.tx.us,1600,Point(-99.21 33.18),Q113854
Texas,Briscoe County,http://www.co.briscoe.tx.us,1537,Point(-101.21 34.53),Q109165
Texas,Cottle County,http://www.co.cottle.tx.us/,1452,Point(-100.27 34.08),Q109622
